,quadkey,tile,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices
4485526,2100313323310013,"POLYGON ((-68.2745361328125 -16.4729625096309, -68.26904296875 -16.4729625096309, -68.26904296875 -16.4782301277642, -68.2745361328125 -16.4782301277642, -68.2745361328125 -16.4729625096309))",4024,2381,30,7,1
4485527,2100313323310100,"POLYGON ((-68.26904296875 -16.467694748289, -68.2635498046875 -16.467694748289, -68.2635498046875 -16.4729625096309, -68.26904296875 -16.4729625096309, -68.26904296875 -16.467694748289))",609,2397,17,2,1
4485528,2100313323310102,"POLYGON ((-68.26904296875 -16.4729625096309, -68.2635498046875 -16.4729625096309, -68.2635498046875 -16.4782301277642, -68.26904296875 -16.4782301277642, -68.26904296875 -16.4729625096309))",1269,1171,169,2,1
4485529,2100313323311103,"POLYGON ((-68.2196044921875 -16.4729625096309, -68.214111328125 -16.4729625096309, -68.214111328125 -16.4782301277642, -68.2196044921875 -16.4782301277642, -68.2196044921875 -16.4729625096309))",4576,1611,10,1,1
4485530,2100313323311113,"POLYGON ((-68.2086181640625 -16.4729625096309, -68.203125 -16.4729625096309, -68.203125 -16.4782301277642, -68.2086181640625 -16.4782301277642, -68.2086181640625 -16.4729625096309))",5315,1875,6,1,1
4485531,2100313323311132,"POLYGON ((-68.214111328125 -16.4834976026481, -68.2086181640625 -16.4834976026481, -68.2086181640625 -16.4887649342421, -68.214111328125 -16.4887649342421, -68.214111328125 -16.4834976026481))",28625,10759,5,2,2
4485532,2100313323311301,"POLYGON ((-68.2196044921875 -16.4887649342421, -68.214111328125 -16.4887649342421, -68.214111328125 -16.4940321225054, -68.2196044921875 -16.4940321225054, -68.2196044921875 -16.4887649342421))",7628,2144,33,18,2
4485533,2100313323311302,"POLYGON ((-68.22509765625 -16.4940321225054, -68.2196044921875 -16.4940321225054, -68.2196044921875 -16.4992991673976, -68.22509765625 -16.4992991673976, -68.22509765625 -16.4940321225054))",2338,788,13,3,2
4485534,2100313323311303,"POLYGON ((-68.2196044921875 -16.4940321225054, -68.214111328125 -16.4940321225054, -68.214111328125 -16.4992991673976, -68.2196044921875 -16.4992991673976, -68.2196044921875 -16.4940321225054))",8905,3064,86,29,10
4485535,2100313323311310,"POLYGON ((-68.214111328125 -16.4887649342421, -68.2086181640625 -16.4887649342421, -68.2086181640625 -16.4940321225054, -68.214111328125 -16.4940321225054, -68.214111328125 -16.4887649342421))",7113,3177,10,11,2
4485536,2100313323311311,"POLYGON ((-68.2086181640625 -16.4887649342421, -68.203125 -16.4887649342421, -68.203125 -16.4940321225054, -68.2086181640625 -16.4940321225054, -68.2086181640625 -16.4887649342421))",16862,6020,10,39,3
4485537,2100313323311312,"POLYGON ((-68.214111328125 -16.4940321225054, -68.2086181640625 -16.4940321225054, -68.2086181640625 -16.4992991673976, -68.214111328125 -16.4992991673976, -68.214111328125 -16.4940321225054))",18860,5794,13,94,5
4485538,2100313323311320,"POLYGON ((-68.22509765625 -16.4992991673976, -68.2196044921875 -16.4992991673976, -68.2196044921875 -16.5045660688779, -68.22509765625 -16.5045660688779, -68.22509765625 -16.4992991673976))",5148,1835,12,4,1
4485539,2100313323311321,"POLYGON ((-68.2196044921875 -16.4992991673976, -68.214111328125 -16.4992991673976, -68.214111328125 -16.5045660688779, -68.2196044921875 -16.5045660688779, -68.2196044921875 -16.4992991673976))",5249,2130,15,33,6
4485540,2100313323311323,"POLYGON ((-68.2196044921875 -16.5045660688779, -68.214111328125 -16.5045660688779, -68.214111328125 -16.5098328269058, -68.2196044921875 -16.5098328269058, -68.2196044921875 -16.5045660688779))",5096,1848,10,2,1
4485541,2100313323311330,"POLYGON ((-68.214111328125 -16.4992991673976, -68.2086181640625 -16.4992991673976, -68.2086181640625 -16.5045660688779, -68.214111328125 -16.5045660688779, -68.214111328125 -16.4992991673976))",12705,3877,24,2,2
4485542,2100313323311331,"POLYGON ((-68.2086181640625 -16.4992991673976, -68.203125 -16.4992991673976, -68.203125 -16.5045660688779, -68.2086181640625 -16.5045660688779, -68.2086181640625 -16.4992991673976))",1710,1359,76,1,1
4485543,2100313323311332,"POLYGON ((-68.214111328125 -16.5045660688779, -68.2086181640625 -16.5045660688779, -68.2086181640625 -16.5098328269058, -68.214111328125 -16.5098328269058, -68.214111328125 -16.5045660688779))",14786,4841,23,6,2
4485544,2100313323311333,"POLYGON ((-68.2086181640625 -16.5045660688779, -68.203125 -16.5045660688779, -68.203125 -16.5098328269058, -68.2086181640625 -16.5098328269058, -68.2086181640625 -16.5045660688779))",4952,1538,9,2,1
4485545,2100313323313030,"POLYGON ((-68.236083984375 -16.5203659124421, -68.2305908203125 -16.5203659124421, -68.2305908203125 -16.5256322398693, -68.236083984375 -16.5256322398693, -68.236083984375 -16.5203659124421))",7904,14011,27,1,1
4485546,2100313323313102,"POLYGON ((-68.22509765625 -16.5150994414408, -68.2196044921875 -16.5150994414408, -68.2196044921875 -16.5203659124421, -68.22509765625 -16.5203659124421, -68.22509765625 -16.5150994414408))",4609,1341,160,9,1
4485547,2100313323313103,"POLYGON ((-68.2196044921875 -16.5150994414408, -68.214111328125 -16.5150994414408, -68.214111328125 -16.5203659124421, -68.2196044921875 -16.5203659124421, -68.2196044921875 -16.5150994414408))",7758,2379,16,3,2
4485548,2100313323313112,"POLYGON ((-68.214111328125 -16.5150994414408, -68.2086181640625 -16.5150994414408, -68.2086181640625 -16.5203659124421, -68.214111328125 -16.5203659124421, -68.214111328125 -16.5150994414408))",9470,3081,19,9,4
4485549,2100313323313113,"POLYGON ((-68.2086181640625 -16.5150994414408, -68.203125 -16.5150994414408, -68.203125 -16.5203659124421, -68.2086181640625 -16.5203659124421, -68.2086181640625 -16.5150994414408))",7417,5538,19,7,2
4485550,2100313323313121,"POLYGON ((-68.2196044921875 -16.5203659124421, -68.214111328125 -16.5203659124421, -68.214111328125 -16.5256322398693, -68.2196044921875 -16.5256322398693, -68.2196044921875 -16.5203659124421))",4269,1569,43,5,2
4485551,2100313323313122,"POLYGON ((-68.22509765625 -16.5256322398693, -68.2196044921875 -16.5256322398693, -68.2196044921875 -16.5308984236817, -68.22509765625 -16.5308984236817, -68.22509765625 -16.5256322398693))",6637,2385,18,21,2
4485552,2100313323313123,"POLYGON ((-68.2196044921875 -16.5256322398693, -68.214111328125 -16.5256322398693, -68.214111328125 -16.5308984236817, -68.2196044921875 -16.5308984236817, -68.2196044921875 -16.5256322398693))",7210,2342,60,14,4
4485553,2100313323313130,"POLYGON ((-68.214111328125 -16.5203659124421, -68.2086181640625 -16.5203659124421, -68.2086181640625 -16.5256322398693, -68.214111328125 -16.5256322398693, -68.214111328125 -16.5203659124421))",8350,3211,149,32,8
4485554,2100313323313131,"POLYGON ((-68.2086181640625 -16.5203659124421, -68.203125 -16.5203659124421, -68.203125 -16.5256322398693, -68.2086181640625 -16.5256322398693, -68.2086181640625 -16.5203659124421))",5348,1869,45,8,6
4485555,2100313323313132,"POLYGON ((-68.214111328125 -16.5256322398693, -68.2086181640625 -16.5256322398693, -68.2086181640625 -16.5308984236817, -68.214111328125 -16.5308984236817, -68.214111328125 -16.5256322398693))",7774,2539,16,6,4
4485556,2100313323313133,"POLYGON ((-68.2086181640625 -16.5256322398693, -68.203125 -16.5256322398693, -68.203125 -16.5308984236817, -68.2086181640625 -16.5308984236817, -68.2086181640625 -16.5256322398693))",4604,1549,16,13,5
4485557,2100313323313231,"POLYGON ((-68.2305908203125 -16.5414303603, -68.22509765625 -16.5414303603, -68.22509765625 -16.5466961130247, -68.2305908203125 -16.5466961130247, -68.2305908203125 -16.5414303603))",1200,484,173,1,1
4485558,2100313323313300,"POLYGON ((-68.22509765625 -16.5308984236817, -68.2196044921875 -16.5308984236817, -68.2196044921875 -16.5361644638388, -68.22509765625 -16.5361644638388, -68.22509765625 -16.5308984236817))",2997,2577,22,1,1
4485559,2100313323313301,"POLYGON ((-68.2196044921875 -16.5308984236817, -68.214111328125 -16.5308984236817, -68.214111328125 -16.5361644638388, -68.2196044921875 -16.5361644638388, -68.2196044921875 -16.5308984236817))",5519,1179,74,8,3
4485560,2100313323313303,"POLYGON ((-68.2196044921875 -16.5361644638388, -68.214111328125 -16.5361644638388, -68.214111328125 -16.5414303603, -68.2196044921875 -16.5414303603, -68.2196044921875 -16.5361644638388))",20437,6449,10,1,1
4485561,2100313323313310,"POLYGON ((-68.214111328125 -16.5308984236817, -68.2086181640625 -16.5308984236817, -68.2086181640625 -16.5361644638388, -68.214111328125 -16.5361644638388, -68.214111328125 -16.5308984236817))",17995,5551,10,8,2
4485562,2100313323313311,"POLYGON ((-68.2086181640625 -16.5308984236817, -68.203125 -16.5308984236817, -68.203125 -16.5361644638388, -68.2086181640625 -16.5361644638388, -68.2086181640625 -16.5308984236817))",3003,1260,527,22,1
4485563,2100313323313312,"POLYGON ((-68.214111328125 -16.5361644638388, -68.2086181640625 -16.5361644638388, -68.2086181640625 -16.5414303603, -68.214111328125 -16.5414303603, -68.214111328125 -16.5361644638388))",4828,1524,55,1,1
4485564,2100313323313313,"POLYGON ((-68.2086181640625 -16.5361644638388, -68.203125 -16.5361644638388, -68.203125 -16.5414303603, -68.2086181640625 -16.5414303603, -68.2086181640625 -16.5361644638388))",12739,3850,10,3,2
4485565,2100313323313323,"POLYGON ((-68.2196044921875 -16.5466961130247, -68.214111328125 -16.5466961130247, -68.214111328125 -16.5519617219725, -68.2196044921875 -16.5519617219725, -68.2196044921875 -16.5466961130247))",6264,1057,15,3,1
4485566,2100313323313331,"POLYGON ((-68.2086181640625 -16.5414303603, -68.203125 -16.5414303603, -68.203125 -16.5466961130247, -68.2086181640625 -16.5466961130247, -68.2086181640625 -16.5414303603))",15717,5050,28,12,2
4485567,2100313323313332,"POLYGON ((-68.214111328125 -16.5466961130247, -68.2086181640625 -16.5466961130247, -68.2086181640625 -16.5519617219725, -68.214111328125 -16.5519617219725, -68.214111328125 -16.5466961130247))",8106,3615,16,2,2
4485568,2100313323313333,"POLYGON ((-68.2086181640625 -16.5466961130247, -68.203125 -16.5466961130247, -68.203125 -16.5519617219725, -68.2086181640625 -16.5519617219725, -68.2086181640625 -16.5466961130247))",4399,1594,18,1,1
4485569,2100313323331101,"POLYGON ((-68.2196044921875 -16.5519617219725, -68.214111328125 -16.5519617219725, -68.214111328125 -16.5572271871027, -68.2196044921875 -16.5572271871027, -68.2196044921875 -16.5519617219725))",5719,3361,27,2,1
4485570,2100313323331111,"POLYGON ((-68.2086181640625 -16.5519617219725, -68.203125 -16.5519617219725, -68.203125 -16.5572271871027, -68.2086181640625 -16.5572271871027, -68.2086181640625 -16.5519617219725))",20094,6617,10,1,1
4485571,2100313323331112,"POLYGON ((-68.214111328125 -16.5572271871027, -68.2086181640625 -16.5572271871027, -68.2086181640625 -16.5624925083749, -68.214111328125 -16.5624925083749, -68.214111328125 -16.5572271871027))",24014,8422,13,12,1
4485572,2100313323331122,"POLYGON ((-68.22509765625 -16.5677576857484, -68.2196044921875 -16.5677576857484, -68.2196044921875 -16.5730227191828, -68.22509765625 -16.5730227191828, -68.22509765625 -16.5677576857484))",719,357,47,3,1
4485573,2100313323331130,"POLYGON ((-68.214111328125 -16.5624925083749, -68.2086181640625 -16.5624925083749, -68.2086181640625 -16.5677576857484, -68.214111328125 -16.5677576857484, -68.214111328125 -16.5624925083749))",30464,9193,10,1,1
4485574,2100313323331210,"POLYGON ((-68.236083984375 -16.5730227191828, -68.2305908203125 -16.5730227191828, -68.2305908203125 -16.5782876086375, -68.236083984375 -16.5782876086375, -68.236083984375 -16.5730227191828))",3961,1143,54,13,2
4485575,2100313323331222,"POLYGON ((-68.2470703125 -16.5888169554458, -68.2415771484375 -16.5888169554458, -68.2415771484375 -16.5940814127185, -68.2470703125 -16.5940814127185, -68.2470703125 -16.5888169554458))",1214,378,186,2,1
4485576,2100313323331310,"POLYGON ((-68.214111328125 -16.5730227191828, -68.2086181640625 -16.5730227191828, -68.2086181640625 -16.5782876086375, -68.214111328125 -16.5782876086375, -68.214111328125 -16.5730227191828))",8191,2489,30,2,1
4485577,2100313323332130,"POLYGON ((-68.258056640625 -16.6046098947981, -68.2525634765625 -16.6046098947981, -68.2525634765625 -16.6098739195242, -68.258056640625 -16.6098739195242, -68.258056640625 -16.6046098947981))",4193,1353,97,3,1
4485578,2100313331212132,"POLYGON ((-67.730712890625 -16.1882995335907, -67.7252197265625 -16.1882995335907, -67.7252197265625 -16.1935748266978, -67.730712890625 -16.1935748266978, -67.730712890625 -16.1882995335907))",13132,8841,43,4,2
4485579,2100313332022230,"POLYGON ((-68.192138671875 -16.4571587961414, -68.1866455078125 -16.4571587961414, -68.1866455078125 -16.4624268437789, -68.192138671875 -16.4624268437789, -68.192138671875 -16.4571587961414))",1664,1710,23,4,1
4485580,2100313332022232,"POLYGON ((-68.192138671875 -16.4624268437789, -68.1866455078125 -16.4624268437789, -68.1866455078125 -16.467694748289, -68.192138671875 -16.467694748289, -68.192138671875 -16.4624268437789))",1403,2286,23,2,1
4485581,2100313332023023,"POLYGON ((-68.1536865234375 -16.4413537948707, -68.148193359375 -16.4413537948707, -68.148193359375 -16.4466222716466, -68.1536865234375 -16.4466222716466, -68.1536865234375 -16.4413537948707))",3847,2944,195,2,2
4485582,2100313332023201,"POLYGON ((-68.1536865234375 -16.4466222716466, -68.148193359375 -16.4466222716466, -68.148193359375 -16.4518906054171, -68.1536865234375 -16.4518906054171, -68.1536865234375 -16.4466222716466))",2642,678,13,1,1
4485583,2100313332023203,"POLYGON ((-68.1536865234375 -16.4518906054171, -68.148193359375 -16.4518906054171, -68.148193359375 -16.4571587961414, -68.1536865234375 -16.4571587961414, -68.1536865234375 -16.4518906054171))",9122,6682,4,8,2
4485584,2100313332023212,"POLYGON ((-68.148193359375 -16.4518906054171, -68.1427001953125 -16.4518906054171, -68.1427001953125 -16.4571587961414, -68.148193359375 -16.4571587961414, -68.148193359375 -16.4518906054171))",6032,4074,3,1,1
4485585,2100313332023221,"POLYGON ((-68.1536865234375 -16.4571587961414, -68.148193359375 -16.4571587961414, -68.148193359375 -16.4624268437789, -68.1536865234375 -16.4624268437789, -68.1536865234375 -16.4571587961414))",7775,6555,3,4,3
4485586,2100313332023222,"POLYGON ((-68.1591796875 -16.4624268437789, -68.1536865234375 -16.4624268437789, -68.1536865234375 -16.467694748289, -68.1591796875 -16.467694748289, -68.1591796875 -16.4624268437789))",19092,5926,179,4,3
4485587,2100313332023223,"POLYGON ((-68.1536865234375 -16.4624268437789, -68.148193359375 -16.4624268437789, -68.148193359375 -16.467694748289, -68.1536865234375 -16.467694748289, -68.1536865234375 -16.4624268437789))",7566,2628,10,11,7
4485588,2100313332023230,"POLYGON ((-68.148193359375 -16.4571587961414, -68.1427001953125 -16.4571587961414, -68.1427001953125 -16.4624268437789, -68.148193359375 -16.4624268437789, -68.148193359375 -16.4571587961414))",14684,8538,4,2,1
4485589,2100313332023333,"POLYGON ((-68.1207275390625 -16.4624268437789, -68.115234375 -16.4624268437789, -68.115234375 -16.467694748289, -68.1207275390625 -16.467694748289, -68.1207275390625 -16.4624268437789))",4339,1499,32,19,3
4485590,2100313332032213,"POLYGON ((-68.0987548828125 -16.4518906054171, -68.09326171875 -16.4518906054171, -68.09326171875 -16.4571587961414, -68.0987548828125 -16.4571587961414, -68.0987548828125 -16.4518906054171))",1577,1172,39,15,2
4485591,2100313332032221,"POLYGON ((-68.1097412109375 -16.4571587961414, -68.104248046875 -16.4571587961414, -68.104248046875 -16.4624268437789, -68.1097412109375 -16.4624268437789, -68.1097412109375 -16.4571587961414))",4927,3957,3,6,1
4485592,2100313332032222,"POLYGON ((-68.115234375 -16.4624268437789, -68.1097412109375 -16.4624268437789, -68.1097412109375 -16.467694748289, -68.115234375 -16.467694748289, -68.115234375 -16.4624268437789))",12919,5393,8,36,9
4485593,2100313332032223,"POLYGON ((-68.1097412109375 -16.4624268437789, -68.104248046875 -16.4624268437789, -68.104248046875 -16.467694748289, -68.1097412109375 -16.467694748289, -68.1097412109375 -16.4624268437789))",20504,6007,9,1,1
4485594,2100313332032230,"POLYGON ((-68.104248046875 -16.4571587961414, -68.0987548828125 -16.4571587961414, -68.0987548828125 -16.4624268437789, -68.104248046875 -16.4624268437789, -68.104248046875 -16.4571587961414))",4669,1551,25,6,3
4485595,2100313332200000,"POLYGON ((-68.203125 -16.467694748289, -68.1976318359375 -16.467694748289, -68.1976318359375 -16.4729625096309, -68.203125 -16.4729625096309, -68.203125 -16.467694748289))",2438,1604,33,3,1
4485596,2100313332200002,"POLYGON ((-68.203125 -16.4729625096309, -68.1976318359375 -16.4729625096309, -68.1976318359375 -16.4782301277642, -68.203125 -16.4782301277642, -68.203125 -16.4729625096309))",5305,1677,51,2,1
4485597,2100313332200010,"POLYGON ((-68.192138671875 -16.467694748289, -68.1866455078125 -16.467694748289, -68.1866455078125 -16.4729625096309, -68.192138671875 -16.4729625096309, -68.192138671875 -16.467694748289))",3269,2318,18,1,1
4485598,2100313332200011,"POLYGON ((-68.1866455078125 -16.467694748289, -68.18115234375 -16.467694748289, -68.18115234375 -16.4729625096309, -68.1866455078125 -16.4729625096309, -68.1866455078125 -16.467694748289))",5647,2923,32,2,2
4485599,2100313332200013,"POLYGON ((-68.1866455078125 -16.4729625096309, -68.18115234375 -16.4729625096309, -68.18115234375 -16.4782301277642, -68.1866455078125 -16.4782301277642, -68.1866455078125 -16.4729625096309))",19116,5788,9,2,1
4485600,2100313332200020,"POLYGON ((-68.203125 -16.4782301277642, -68.1976318359375 -16.4782301277642, -68.1976318359375 -16.4834976026481, -68.203125 -16.4834976026481, -68.203125 -16.4782301277642))",5561,2287,18,6,1
4485601,2100313332200021,"POLYGON ((-68.1976318359375 -16.4782301277642, -68.192138671875 -16.4782301277642, -68.192138671875 -16.4834976026481, -68.1976318359375 -16.4834976026481, -68.1976318359375 -16.4782301277642))",4063,7287,27,7,2
4485602,2100313332200023,"POLYGON ((-68.1976318359375 -16.4834976026481, -68.192138671875 -16.4834976026481, -68.192138671875 -16.4887649342421, -68.1976318359375 -16.4887649342421, -68.1976318359375 -16.4834976026481))",4862,2142,34,3,2
4485603,2100313332200030,"POLYGON ((-68.192138671875 -16.4782301277642, -68.1866455078125 -16.4782301277642, -68.1866455078125 -16.4834976026481, -68.192138671875 -16.4834976026481, -68.192138671875 -16.4782301277642))",5119,1598,11,1,1
4485604,2100313332200031,"POLYGON ((-68.1866455078125 -16.4782301277642, -68.18115234375 -16.4782301277642, -68.18115234375 -16.4834976026481, -68.1866455078125 -16.4834976026481, -68.1866455078125 -16.4782301277642))",9444,3165,31,3,1
