a0,a1,a2,a3,a4,a40,b1.b11.,b1.b12.,b1.b13.,b1.b14.,b1.b15.,b1.b16.,b1.other.,b2,b3,b4,b6,b71.b711.,b71.b712.,b72.b721.,b72.b722.,b72.b723.,b72.b724.,b72.b725.,b73.b731.,b73.b732.,b73.b733.,b73.b734.,b73.b735.,b74.b741.,b74.b742.,b8,b9,c1,c2,c3,c4,c5,c6,c6.other.,c9.c31.,c9.c32.,c9.c33.,c9.c34.,c9.c35.,c9.c36.,c9.c37.,c9.c38.,c9.c39.,c9.c40.,c9.other.,c10,d1,d2,d3.d31.,d3.d32.,d3.d33.,d3.d34.,d3.d35.,d3.d36.,d3.d37.,d3.d38.,d3.other.,d4,e1,e2,e3,e4,e5,e6.e41.,e6.e42.,e6.e43.,e6.e44.,e6.e45.,e6.e46.,e6.e47.,e6.e48.,e6.e49.,e6.e4101.,e6.e4102.,e6.other.,e7,e8,e8.other.,e9.e71.,e9.e72.,e9.e73.,e9.e74.,e9.e75.,e9.e76.,e9.e77.,e9.e78.,e9.other.,e10.e81.,e10.e82.,e10.e83.,e10.e84.,e10.e85.,e10.e86.,e10.e87.,e10.e88.,e10.e89.,e10.e90.,e10.e91.,e10.e92.,e10.e93.,e10.other.,e11,f1.f11.,f1.f12.,f1.f13.,f1.f14.,f1.f15.,f1.f16.,f1.f17.,g1,g1.other.,g2,g21,g3.g31.,g3.g32.,g3.g33.,g3.g34.,g3.g35.,g3.g36.,g3.g37.,g3.g38.,g3.g39.,g3.g40.,g3.g41.,g3.other.,h1,h2,h3,h4,h5,h6,h7,i1,i2,i3,i4,i5,i6,j11.SQ001.,j11.SQ002.,j11.SQ003.,j11.SQ004.,j11.SQ005.,j11.SQ006.,j11.SQ007.,j11.SQ008.,j2,k1.k12.,k1.k13.,k1.k14.,k1.k15.,k1.k16.,k1.other.,k2.k21.,k2.k22.,k2.k23.,k2.k24.,k2.k25.,k3,k4,k5,k6,k7,k8,l1.l11.,l1.l12.,l1.l13.,l1.l14.,l1.l15.,l1.other.,l2,l3,m1,m2,m3,m4,m5,m6,m7,m71,m8,m9,m10
Sí,Femenino,29,Santa Cruz,Montero,San José Obrero Mañana,No,No,Sí,No,No,No,,8,Más de un año,7,Comunidad y Sociedad,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sí,No,No,No,No,N/A,N/A,Sí,Tics,Sí,Computadora portátil,1,No,NA,Dotada por el ministerio,,Sí,No,No,No,No,No,Sí,Sí,Sí,Sí,,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,,No,Sí,Sí,Sí,Sí,Sí,Sí,No,No,Sí,No,No,No,Sí,No,No,No,,Internet fijo,Casa,,Sí,No,No,No,No,No,No,No,,Sí,Sí,Sí,No,Sí,No,No,No,No,No,No,No,No,,7,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Windows,,No,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,No,No,No,No,,N/A,N/A,Sí,Sí,Sí,Hace un año,Sí,No,Siempre,Siempre,Siempre,Rara vez,Rara vez,Rara vez,Rara vez,Siempre,Sí,No,Sí,No,No,No,,No,Sí,No,No,No,Siempre,Siempre,Clases prácticas,Ocasionalmente,Rara vez,Rara vez,Sí,Sí,Sí,No,Sí,,No,,excelente,Porque ayudaron a despejar dudas en todo momento y aprender a usar las diferentes aplicaciones,mucho,Porque los estudiantes podrian crear y tener un aprendizaje significativo,Sí,Porque ayudara en crear los temas y contenidos,excelente,Porque explicaron bien las diferentes aplicaciones,Sí,Porque seria una clase diferente,No
Sí,Femenino,38,La Paz,La Paz,SAN SIMON DE AYACUCHO A,Sí,No,Sí,No,No,No,,14,Más de un año,2,"Vida, Tierra y Territorio",N/A,N/A,No,Sí,Sí,No,Sí,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sí,TICs e Inclusión digital,Sí,Computadora portátil,1,No,NA,Dotada por el ministerio,,Sí,No,Sí,Sí,Sí,No,Sí,Sí,No,Sí,,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,,Sí,No,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,No,Sí,Sí,,Internet móvil,Casa,,No,Sí,No,No,No,No,No,No,,Sí,Sí,Sí,Sí,No,No,No,Sí,No,No,No,No,No,,7,Sí,Sí,Dudoso,Dudoso,Dudoso,Sí,Sí,Windows,,Sí,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,Sí,Sí,No,Sí,Uso de programa UNELAB,No,No,No,No,Sí,En este año,Sí,No,Rara vez,Casi siempre,Ocasionalmente,Ocasionalmente,Casi siempre,Siempre,Ocasionalmente,Casi siempre,Sí,Sí,Sí,No,Sí,No,,Sí,Sí,No,No,No,Casi siempre,Casi siempre,Clases prácticas,Casi siempre,Ocasionalmente,Rara vez,Sí,Sí,No,Sí,Sí,,Sí,UTILIZAR SOFTWARE LIBRE,regular,"POR QUE LAS COMPUTADORAS KUAA SON MUY LENTAS AL IGUAL QUE LAS DOTADAS POR EL MINISTERIO, INDICAN QUE NO TIENE MUCHA CAPACIDAD",mucho,LA MAYOR PARTE DE LOS JÓVENES ESTAN HABITUADOS A UTILIZAR LA TECNOLOGÍA,Sí,POR QUE LES DA MAYOR MOTIVACIÓN,buena,DIERON BUENAS EXPLICACIONES E IMPARTIERON SUS CONOCIMIENTOS CON MUCHA PACIENCIA,Sí,"POR LA PRÁCTICA QUE SE PUEDE REALIZAR, SOLO HACE FALTA ACTUALIZACIÓN DE LOS EQUIPOS PARA QUE SEAN MÁS RÁPIDOS O DE MAYOR CAPACIDAD.",MEJORAR LAS COMPUTADORAS
Sí,Femenino,56,Beni,Trinidad,MARIO SAELLY Mañana,Sí,No,Sí,Sí,No,No,,32,Más de un año,26,"Ciencia, Tecnología y Producción",Sí,Sí,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sí,Inclusion digital,Sí,Computadora portátil,1,No,NA,Dotada por el ministerio,,Sí,No,No,No,No,No,Sí,Sí,No,Sí,,Sí,Sí,Sí,Sí,No,No,Sí,Sí,Sí,Sí,Sí,,No,Sí,Sí,No,No,Sí,Sí,No,No,No,Sí,Sí,No,No,No,Sí,Sí,,Internet fijo,Casa,,No,Sí,No,No,No,No,No,No,,No,No,Sí,No,No,No,No,No,No,No,No,No,No,,1,Sí,Dudoso,Dudoso,No,Dudoso,No,No,Windows,,Sí,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,Sí,Sí,Sí,No,,N/A,N/A,Sí,Sí,No,,No,No,Nunca,Nunca,Nunca,Nunca,Siempre,Rara vez,Nunca,Nunca,Sí,No,No,Sí,Sí,No,,Sí,No,Sí,No,No,Siempre,Rara vez,Clases prácticas,Nunca,Nunca,Nunca,Sí,Sí,Sí,Sí,Sí,,Sí,Que los maestros incorporen las tics en sus clases para que lo estudiantes aprendan de una manera más eficientes.,excelente,Por qué nos imparten los conocimientos para poder impartir Conocimientos a los y las estudiantes .,mucho,Por qué la tecnología está muy avanzada,Sí,Por que ellos a través de la herramienta pueden entender cómo se resuelve la operación,excelente,Por qué es una excelente clase .,Sí,Por qué es un apoyo utilizar las herramientas y combinarla con la educación tradicional.,"Que la capacitación del programa de inclusión digital, sea desde comiendo de año ,y que hayan maestros para capacitar continuamente. Tanto a maestros como estudiantes."
Sí,Femenino,56,Beni,Trinidad,OTTO AGUILERA OJEDA Tarde,Sí,No,No,No,No,No,,33,Más de un año,30,"Ciencia, Tecnología y Producción",Sí,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sí,Geogebra,Sí,Computadora portátil,1,No,NA,Por cuenta propia,,Sí,No,No,No,No,No,Sí,Sí,Sí,No,,No,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,,No,No,Sí,No,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,No,No,No,No,Sí,,Internet móvil,Casa,,Sí,No,No,No,No,No,No,No,,Sí,Sí,Sí,Sí,No,No,No,No,No,No,No,No,No,,5,Sí,No,No,No,No,No,No,Windows,,Sí,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,Sí,No,No,No,,N/A,N/A,Sí,No,No,,No,No,Rara vez,Ocasionalmente,Rara vez,Ocasionalmente,Ocasionalmente,Rara vez,Nunca,Rara vez,Sí,Sí,No,No,Sí,No,,Sí,Sí,No,No,No,Nunca,Rara vez,Clases prácticas,Rara vez,Rara vez,Nunca,Sí,No,No,No,Sí,,No,,buena,porq hemos aprendido algunas tecnicas q desconociasmos la cual son interesantes,mas o menos,porq a los estudiantes les gusta trabajar con las computadoras y se sientes muy entusiastas cuando se los lleva a sala de computacion,No,porq no se ha tenido mucho tiempo para trabajar con los esyudiantes por motivo de la situacion q vive el pais ,buena,siempre nos apoyaron de buena boluntad,Sí,para hacerla mas activa y mas aceptada por los estudiantes,no ninguna
Sí,Femenino,35,La Paz,La Paz,HUGO DAVILA A,Sí,No,No,No,No,No,,7,Más de un año,2,"Vida, Tierra y Territorio",N/A,N/A,No,No,No,Sí,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,,Sí,Computadora portátil,2,Sí,1,Por cuenta propia,,Sí,No,No,No,No,No,No,No,No,Sí,,Sí,Sí,Sí,Sí,No,No,No,Sí,No,No,Sí,,No,Sí,Sí,No,Sí,Sí,No,Sí,No,No,Sí,No,No,No,No,No,No,,Internet fijo,Casa,,No,Sí,No,No,Sí,No,No,No,,Sí,No,No,No,No,No,No,No,No,No,No,No,No,,3,Sí,Sí,Dudoso,Sí,Sí,Sí,Sí,Windows,,Sí,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,Sí,Sí,No,No,,N/A,N/A,Sí,Sí,Sí,En este año,Sí,No,Ocasionalmente,Rara vez,Rara vez,Rara vez,Rara vez,Siempre,Rara vez,Rara vez,No,No,No,No,Sí,No,,Sí,No,No,No,No,Ocasionalmente,Casi siempre,Clases de laboratorios,Ocasionalmente,Rara vez,Rara vez,No,No,No,No,Sí,,Sí,"Uso de las computadoras entregadas a lo estudiantes, para usar aplicaciones relacionadas a la materia ",regular,El tiempo fue corto ,mas o menos,En ocasiones no hay aplicaciones para la materia ,No,El Internet es necesario ,buena,Nos falto tiempo para lograr culminar la capacitación en su totalidad ,Sí,Dependería de la aplicación exacta y no exactamente software libre ,Se necesitan aplicaciones específicas para la materia 
Sí,Masculino,53,La Paz,La Paz,NATALIA PALACIOS,No,No,Sí,No,No,No,,21,Más de un año,8,Comunidad y Sociedad,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,Sí,No,No,N/A,N/A,No,,Sí,Computadora portátil,1,No,NA,Dotada por el ministerio,,Sí,No,Sí,No,No,No,Sí,No,No,Sí,,No,Sí,No,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,,No,Sí,Sí,No,Sí,Sí,No,Sí,No,Sí,No,No,No,No,No,No,No,,Internet fijo,Casa,,Sí,Sí,No,No,No,No,No,No,,Sí,Sí,Sí,Sí,No,No,No,No,No,No,No,No,No,,7,Dudoso,Sí,Dudoso,No,No,Sí,Sí,Windows,,No,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,Sí,No,No,No,,N/A,N/A,Sí,Sí,No,,No,Sí,Rara vez,Nunca,Rara vez,Nunca,Rara vez,Rara vez,Nunca,Nunca,No,Sí,No,No,No,No,,No,No,Sí,No,No,Ocasionalmente,Ocasionalmente,Clases prácticas,Nunca,Rara vez,Rara vez,Sí,No,Sí,No,Sí,,Sí,La inclusión de las kuaas en el proceso de aprendizaje,regular,Lamentablemente no se pudo concertar entre los maestros a capacitarse en un horario adecuado. Hubieron maestros que no pudimos participar en todas las clases de capacitación debido al horario y disponibilidad de cada maestro,mas o menos,La tecnología brinda mayor facilidad para el aprendizaje pero al mismo tiempo el estudiante busca un menor esfuerzo por lo cual en países desarrollados como Francia en algunos casos se está regresando a implementar técnicas pedagógicas tradicionales.,No,Porque reduce el esfuerzo en algunos casos del estudiante,buena,Por su amplia colaboracion,Sí,Porque la utilización de las Tics es una necesidad del mundo educativo actual,Que certifiquen únicamente a los docentes que pasaron clases el 100% del programa
Sí,Masculino,55,La Paz,El Alto,SIMON BOLIVAR TARDE,No,No,Sí,No,No,No,,30,Más de un año,23,Comunidad y Sociedad,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,No,Sí,No,N/A,N/A,Sí,classroom y agetic,Sí,Computadora portátil,2,Sí,2,Dotada por el ministerio,,Sí,No,Sí,No,No,No,Sí,Sí,Sí,Sí,,Sí,Sí,Sí,Sí,No,No,Sí,Sí,Sí,Sí,Sí,,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,No,Sí,Sí,Sí,No,No,No,No,No,,Internet fijo,Casa,,Sí,Sí,No,No,No,No,No,No,,Sí,Sí,Sí,Sí,No,No,No,No,No,Sí,No,No,No,,6,Sí,Sí,Dudoso,Dudoso,Dudoso,Sí,Sí,Windows,,Sí,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,No,No,No,No,,N/A,N/A,No,No,Sí,Hace un año,Sí,Sí,Ocasionalmente,Ocasionalmente,Ocasionalmente,Ocasionalmente,Ocasionalmente,Ocasionalmente,Ocasionalmente,Ocasionalmente,Sí,Sí,Sí,No,No,No,,No,Sí,No,No,No,Casi siempre,Casi siempre,Clases prácticas,Casi siempre,Ocasionalmente,Casi siempre,Sí,Sí,No,No,Sí,,No,,regular,poca información en mi unidad educativa,mucho,porque los estudiantes tienen mas acceso y les encanta por su facilidad.,Sí,porque entienden mejor,buena,por su paciencia e interés en facilitar a los profesores,Sí,por que la práctica hace al maestro,mayor cobertura 
Sí,Femenino,34,Beni,Trinidad,OTTO AGUILERA OJEDA Tarde,No,Sí,No,No,No,No,,9,Más de un año,9,"Ciencia, Tecnología y Producción",No,Sí,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,,No,,NA,No,NA,Por algún familiar,,No,No,No,No,No,No,No,No,No,No,TRABAJO DE ADMINISTRACIÓN DE OFICINA,Sí,Sí,No,Sí,No,No,No,No,No,No,No,,Sí,No,Sí,No,Sí,Sí,No,No,No,No,Sí,No,No,No,No,No,No,,Internet móvil,Casa,,Sí,No,No,No,No,No,No,No,,Sí,No,Sí,No,No,No,No,No,No,No,No,No,No,,7,Sí,Dudoso,Sí,Sí,Dudoso,Sí,Sí,Windows,,Sí,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,Sí,Sí,Sí,No,,N/A,N/A,Sí,Sí,Sí,En este año,Sí,Sí,Ocasionalmente,Casi siempre,Siempre,Casi siempre,Casi siempre,Casi siempre,Casi siempre,Casi siempre,Sí,No,No,No,Sí,No,,Sí,No,No,No,No,Casi siempre,Casi siempre,Clases prácticas,Casi siempre,Ocasionalmente,Ocasionalmente,No,No,Sí,No,No,,No,,buena,Nos ayuda bastante a orientarnos en la hora de brindar una clase ,mucho,Ayuda a los jóvenes a estar al día en tareas y prácticas en el aúla ,Sí,Pueden compartir todo dentro del aula ,buena,Si dedicados y tienen bastante paciencia en enseñarnos,Sí,Porque en este tiempo es mejor estar actualizado en las redes para estar al par con los jóvenes ,No
Sí,Femenino,52,La Paz,La Paz,MAX VALDIVIA,No,No,Sí,No,No,No,,25,Más de un año,10,"Vida, Tierra y Territorio",N/A,N/A,No,Sí,Sí,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sí,Tic en biología ,Sí,Computadora portátil,1,No,NA,Dotada por el ministerio,,Sí,No,Sí,No,No,No,Sí,Sí,No,No,,Sí,Sí,Sí,Sí,No,No,No,No,Sí,No,Sí,,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,No,Sí,No,,Internet fijo,Casa,,Sí,Sí,No,No,No,No,No,No,,Sí,Sí,Sí,Sí,No,No,No,No,No,No,No,No,No,,7,Sí,Dudoso,Sí,Dudoso,Dudoso,Dudoso,Dudoso,Windows,,No,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,No,No,No,No,,N/A,N/A,No,No,No,,Sí,No,Rara vez,Nunca,Rara vez,Rara vez,Ocasionalmente,Rara vez,Rara vez,Rara vez,No,No,Sí,No,No,No,,No,Sí,No,No,No,Ocasionalmente,Casi siempre,Talleres,Rara vez,Rara vez,Rara vez,Sí,Sí,No,Sí,Sí,,No,,regular,Por que no fue personalizado ,mas o menos,El estudiante no esta acostumbrado a instrucciones y se distraen fácilmente ,Sí,Por que tiene mayor accesibilidad ,regular,Por que el tiempo fue insufiviente ,Sí,Tendría que capacitar me mas y disponer de las kuass,Que sea mas personalizado la capacitación 
Sí,Femenino,54,La Paz,La Paz,ALFREDO VARGAS B,Sí,No,Sí,No,No,No,,27,Menos de un año,NA,Comunidad y Sociedad,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,Sí,No,No,N/A,N/A,Sí,Tics,Sí,Computadora portátil,2,No,NA,Dotada por el ministerio,,No,No,Sí,No,No,No,Sí,Sí,Sí,Sí,,Sí,Sí,Sí,Sí,No,No,No,No,Sí,No,Sí,,Sí,Sí,Sí,No,Sí,Sí,No,Sí,Sí,No,Sí,Sí,No,No,No,No,No,,Internet fijo,Casa,,Sí,No,No,No,Sí,No,No,Sí,,Sí,Sí,Sí,Sí,Sí,No,No,Sí,No,No,No,No,No,,7,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Windows,,Sí,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,Sí,Sí,Sí,Sí,Clas room,Sí,No,No,No,Sí,En este año,Sí,No,Rara vez,Ocasionalmente,Ocasionalmente,Ocasionalmente,Ocasionalmente,Ocasionalmente,Nunca,Nunca,Sí,Sí,No,No,Sí,No,,Sí,No,No,No,No,Siempre,Siempre,Clases prácticas,Nunca,Nunca,Nunca,Sí,Sí,Sí,Sí,Sí,,Sí,Incorporar el uso de la tecnología en el proceso de aprendizaje,buena,El trabajo quereslizaron fue didáctico,mucho,Para estar preparado ,Sí,,buena,Hicieron un trabajo eficientes,Sí,Para actualizar y avanzar en el conocimiento,Espero que vuelvan la siguiente gestión
Sí,Masculino,47,La Paz,La Paz,25 DE MAYO,Sí,No,Sí,Sí,No,No,,21,Más de un año,7,"Vida, Tierra y Territorio",N/A,N/A,No,Sí,Sí,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sí,Intrumentas y erramientas virtuales ,Sí,Computadora portátil,2,Sí,1,Dotada por el ministerio,,Sí,No,Sí,No,No,No,Sí,Sí,Sí,Sí,,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,,No,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,No,Sí,No,,Internet fijo,Casa,,Sí,Sí,No,No,Sí,No,No,Sí,,Sí,Sí,Sí,Sí,No,Sí,No,No,Sí,Sí,No,No,No,,7,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Windows,,Sí,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,Sí,Sí,Sí,Sí,,No,No,Sí,Sí,Sí,En este año,Sí,No,Ocasionalmente,Ocasionalmente,Casi siempre,Siempre,Siempre,Rara vez,Rara vez,Rara vez,Sí,Sí,Sí,No,Sí,No,,Sí,Sí,No,No,No,Siempre,Siempre,Clases prácticas,Ocasionalmente,Ocasionalmente,Nunca,No,Sí,Sí,No,Sí,,Sí,Hacer uso de material digital para el conocimiento de los estudiantes en el proceso de conocimiento ,buena,Factor tiempo,mucho,Nueva formas de aprendizaje ,No,Factor tiempo,buena,Buena dedicacion y disposiciones ,Sí,Esta en les espectativas de los estudiantes,
Sí,Masculino,47,La Paz,El Alto,12 DE OCTUBRE TARDE,No,No,Sí,No,No,No,,23,Más de un año,1,Comunidad y Sociedad,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,Sí,No,No,N/A,N/A,Sí,Tics en el aula,Sí,Computadora portátil,2,Sí,1,Por cuenta propia,,Sí,No,Sí,No,No,No,Sí,Sí,No,Sí,,No,Sí,Sí,Sí,Sí,No,Sí,Sí,No,Sí,Sí,,Sí,Sí,Sí,No,Sí,Sí,No,Sí,No,Sí,Sí,Sí,No,No,No,Sí,Sí,,Internet móvil,Casa,,No,Sí,No,No,No,No,No,No,,Sí,Sí,Sí,Sí,No,No,No,No,No,No,No,No,No,,7,Sí,Dudoso,Sí,Sí,Sí,Sí,Sí,Windows,,No,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,No,No,No,No,,N/A,N/A,No,Sí,Sí,Hace más de dos años,Sí,No,Ocasionalmente,Ocasionalmente,Casi siempre,Casi siempre,Siempre,Casi siempre,Casi siempre,Siempre,Sí,No,Sí,No,Sí,No,,Sí,Sí,No,No,No,Casi siempre,Casi siempre,Clases frontales,Ocasionalmente,Casi siempre,Casi siempre,No,No,No,No,Sí,,Sí,Son actividades didacticas practicas q atrae a los estudiantes,buena,Por la atencion personalizada a los estudiantes,mucho,Permite usar herramientas tenologicas para la cobstruccion del conocimiento,Sí,Coadyuva a la obtencion de objetivos,buena,Por su relacionamiento,Sí,Es importante para el desarrollo ,Que esa mas permanente hasta lograr una capacitacion y adecuar con los contenidos tanto del prof. Como de los estudiantes
Sí,Femenino,36,La Paz,La Paz,MAX VALDIVIA,No,No,Sí,Sí,No,No,,7,Más de un año,4,Comunidad y Sociedad,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,Sí,No,No,N/A,N/A,Sí,Software libre ,Sí,Computadora portátil,2,Sí,2,Por cuenta propia,,No,No,Sí,No,No,No,Sí,No,Sí,Sí,,Sí,Sí,Sí,Sí,Sí,No,No,Sí,No,Sí,Sí,,No,Sí,Sí,No,Sí,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,Sí,Sí,Sí,Sí,No,No,Sí,Sí,Sí,No,No,No,No,,NA,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Windows,,Sí,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,Sí,Sí,No,Sí,E _learding,No,No,Sí,Sí,Sí,Hace dos años,No,No,Rara vez,Rara vez,Rara vez,Rara vez,Ocasionalmente,Siempre,Rara vez,Siempre,Sí,Sí,Sí,No,Sí,No,,Sí,Sí,No,No,No,Casi siempre,Ocasionalmente,Talleres,Ocasionalmente,Ocasionalmente,Ocasionalmente,Sí,Sí,No,No,Sí,,Sí,Son talleres que se imparten a los profesores para poder aprender nuevas tecnologías. ,regular,Debido a que no hubo mucho tiempo para poder aprender las nuevas tecnologías. ,mucho,Es muy importante ya que en la actualidad para los estudiantes es muy llamativo la tecnología ya que eso es lo que más les interesa y atienden. ,Sí,En la actualidad todo el aprendizaje es más que todo visual ya no es como antes que eran las clases magistrales. ,regular,Lamentablemente no hubo el tiempo requerido para poder enseñar debido a que en el tiempo que estuvieron se cruzo con las clases de los estudiantes. ,Sí,Para que los estudiantes puedan aprender mejor y tomen interés en las clases ya que les llama la atención en la actualidad la tecnología. ,Que pueden socializar quizá realizando talleres más seguido en tiempo de cada bimestre a los maestros. 
Sí,Masculino,46,La Paz,La Paz,ELISA DE BALLIVIAN,Sí,No,Sí,No,No,No,,20,Menos de un año,NA,Cosmos y Pensamiento,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,Sí,Sí,Tics en secundaria ,Sí,Computadora portátil,1,No,NA,Dotada por el ministerio,,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,,Internet móvil,Casa,,Sí,No,Sí,Sí,Sí,Sí,Sí,No,,Sí,Sí,Sí,Sí,No,Sí,No,No,No,No,No,No,No,,7,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Windows,,No,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,No,Sí,Sí,Sí,Prezi ,No,No,No,No,Sí,Hace un año,No,Sí,Ocasionalmente,Ocasionalmente,Siempre,Rara vez,Siempre,Rara vez,Rara vez,Rara vez,Sí,Sí,Sí,Sí,Sí,No,,Sí,Sí,No,No,No,Nunca,Rara vez,Clases prácticas,Nunca,Nunca,Nunca,Sí,Sí,Sí,Sí,Sí,,Sí,,excelente,,mucho,,Sí,,excelente,,Sí,,
Sí,Masculino,50,Oruro,Oruro,LA SALLE TARDE,Sí,No,Sí,No,No,No,,25,Más de un año,22,Comunidad y Sociedad,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,No,No,Sí,N/A,N/A,Sí,Audacy,Sí,Computadora de escritorio,3,Sí,1,Dotada por el ministerio,,No,No,Sí,Sí,No,No,Sí,No,Sí,No,,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,No,Sí,Sí,Sí,Sí,,Internet fijo,Casa,,Sí,Sí,Sí,Sí,Sí,No,No,Sí,,Sí,Sí,Sí,Sí,No,Sí,No,Sí,No,No,No,No,No,,7,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Windows,,Sí,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,Sí,Sí,Sí,Sí,Por red,Sí,No,Sí,Sí,Sí,Hace dos años,Sí,Sí,Ocasionalmente,Ocasionalmente,Casi siempre,Ocasionalmente,Ocasionalmente,Ocasionalmente,Ocasionalmente,Ocasionalmente,Sí,Sí,Sí,No,Sí,No,,Sí,Sí,No,No,No,Ocasionalmente,Casi siempre,Clases prácticas,Ocasionalmente,Ocasionalmente,Ocasionalmente,No,Sí,Sí,No,Sí,,Sí,Compartir en base a las TIcs programas y proyectos planes y contenidos mediate redes para el aprovechamiento de las y los estudoantes,buena,Apoyo bastante en el proceso de enseñanza aprendizaje,mucho,Se enfoca y visualiza mejor los contenido,Sí,Es mas practica y significativa,buena,Apoyan el proceso academico,Sí,Servira para conducir de mejor manera a los estudiantes,Que se tenga un horario establecido
