,P1,P2,P1A,P1B,P1C,P1D,P6,P11A,P11B,P11C,P11F,P12,P16,P17,P20,P23,P27A,P27B,P27C,P27D,P27E,P27F,P27G,P37,P43,P46A,P46B,P46C,P46D,P46E,P46F,P46G,P46H,P46I,P47A,P47B,P47C,P47D,P47E,P47F,P47G,P47H,P47I,P63A,P63B,P68,P131A,P131B,P131C,P148,P149,P152,P160
0,18,1,,,,,1,4.0,5.0,,,1,1,2,1,1,2.0,5.0,7.0,,,,,1.0,4,1,2.0,,,,,,,,1,9.0,,,,,,,,1,2.0,1,5,,,1,3,6,La Paz
4,16,1,,,,,2,5.0,,,,1,2,1,1,3,,,,,,,,,4,5,2.0,,,,,,,,9,11.0,,,,,,,,1,2.0,1,1,2.0,,2,2,6,La Paz
9,18,1,,,,,1,2.0,3.0,4.0,5.0,1,1,2,1,3,,,,,,,,1.0,7,8,9.0,10.0,,,,,,,7,,,,,,,,,1,2.0,2,5,,,1,3,6,La Paz
11,20,1,,,,,1,2.0,3.0,4.0,5.0,1,1,2,2,2,,,,,,,,1.0,7,1,2.0,4.0,,,,,,,7,9.0,12.0,,,,,,,2,,2,6,,,1,6,6,La Paz
17,18,1,,,,,2,4.0,5.0,,,1,2,2,1,3,,,,,,,,1.0,7,1,7.0,10.0,,11.0,,,,,1,5.0,7.0,9.0,,,,,,2,,1,1,2.0,6.0,2,3,6,La Paz
24,19,1,,,,,1,5.0,,,,1,1,2,2,3,,,,,,,,1.0,7,10,,,,,,,,,7,,,,,,,,,2,,1,6,,,2,3,6,La Paz
25,14,1,,,,,1,2.0,3.0,4.0,5.0,1,2,2,2,3,,,,,,,,1.0,7,1,7.0,8.0,,,,,,,13,,,,,Ultimos juegos,,,,2,,1,5,1.0,,1,2,6,La Paz
29,21,1,,,,,1,1.0,2.0,3.0,4.0,1,1,2,1,1,5.0,,,,,,,1.0,7,10,,,,,,,,,1,7.0,,,,,,,,1,1.0,1,1,5.0,,2,3,6,La Paz
34,18,1,,,,,1,3.0,5.0,,,1,1,2,1,3,,,,,,,,1.0,7,1,2.0,3.0,,7.0,10.0,,,,1,5.0,7.0,,,,,,,1,2.0,2,6,,,1,3,6,La Paz
38,23,1,,,,,1,1.0,,,,1,1,2,1,2,,,,,,,,1.0,7,2,10.0,,,,,,,,3,9.0,10.0,,,,,,,1,2.0,2,5,,,2,6,6,La Paz
40,20,1,,,,,1,4.0,5.0,,,1,1,2,1,1,1.0,2.0,4.0,,10.0,11.0,,1.0,7,1,7.0,8.0,,9.0,10.0,11.0,,,5,8.0,9.0,,,,,,,1,1.0,2,5,1.0,6.0,1,6,6,La Paz
41,25,1,,,,,1,3.0,4.0,5.0,,1,1,2,2,1,1.0,2.0,7.0,,9.0,,,1.0,7,1,2.0,4.0,,7.0,9.0,10.0,11.0,,5,7.0,9.0,,,,,,,1,2.0,2,5,1.0,6.0,2,2,6,La Paz
42,15,1,,,,,1,1.0,2.0,3.0,4.0,1,2,1,2,2,,,,,,,,1.0,7,1,9.0,10.0,,11.0,,,,,3,,,,,,,,,1,2.0,1,7,6.0,5.0,1,2,6,La Paz
43,18,1,,,,,1,2.0,3.0,4.0,5.0,1,1,2,1,1,1.0,4.0,7.0,,8.0,9.0,10.0,1.0,7,1,2.0,4.0,,7.0,8.0,9.0,10.0,11.0,1,4.0,5.0,7.0,9.0,,12.0,,,1,2.0,3,6,5.0,7.0,2,3,6,La Paz
46,22,1,,,,,1,1.0,2.0,3.0,5.0,1,2,2,1,3,,,,,,,,1.0,7,1,4.0,9.0,,10.0,,,,,9,,,,,,,,,1,2.0,2,5,,,1,6,6,El Alto
48,17,1,,,,,1,1.0,2.0,3.0,,1,1,2,2,2,,,,,,,,1.0,7,1,2.0,4.0,,9.0,10.0,,,,4,9.0,,,,,,,,2,,1,5,,,1,2,6,El Alto
50,16,1,,,,,1,1.0,2.0,,,1,2,2,1,3,,,,,,,,1.0,7,1,2.0,4.0,,7.0,,,,,1,5.0,7.0,9.0,12.0,,,,,2,,1,6,1.0,,2,2,6,El Alto
