,P1,P2,P1A,P1B,P1C,P1D,P6,P11A,P11B,P11C,P11F,P12,P16,P17,P20,P23,P27A,P27B,P27C,P27D,P27E,P27F,P27G,P37,P43,P46A,P46B,P46C,P46D,P46E,P46F,P46G,P46H,P46I,P47A,P47B,P47C,P47D,P47E,P47F,P47G,P47H,P47I,P63A,P63B,P68,P131A,P131B,P131C,P148,P149,P152,P160,accesibilidad,utilidad
2396,20,1,,,,,2,,,,,1,2,1,1,3,,,,,,,,1.0,2,1,3.0,4.0,,8.0,,,,,1,5.0,10.0,,,,,,,1,2.0,3,5,1.0,,1,6,6,Mallku Originario,0.5,0.121
2397,21,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,2,1,4.0,10.0,,,,,,,5,9.0,,,,,,,,2,,1,6,,,2,3,6,Mallku Originario,0.5,0.121
2398,19,1,,,,,2,2.0,5.0,,,1,2,2,1,3,,,,,,,,1.0,1,1,4.0,10.0,,,,,,,1,5.0,7.0,,,,,,,1,2.0,1,5,1.0,2.0,1,2,6,Mallku Originario,0.5,0.34
2400,18,1,,,,,1,2.0,4.0,5.0,,1,2,2,1,3,,,,,,,,1.0,7,1,2.0,10.0,,,,,,,1,4.0,7.0,9.0,,,,,,2,,1,1,,,2,2,6,Mallku Originario,0.625,0.462
2401,18,1,,,,,2,,,,,1,2,1,1,3,,,,,,,,1.0,2,1,2.0,9.0,,,,,,,9,,,,,,,,,2,,3,5,2.0,1.0,1,2,6,Machac Huyo,0.5,0.162
2403,17,1,,,,,1,3.0,4.0,,,1,1,2,1,1,1.0,2.0,,,,,,1.0,7,1,2.0,,,,,,,,1,,,,,,,,,2,,3,1,,,1,2,6,Machac Huyo,0.75,0.425
2408,18,1,,,,,2,5.0,,,,1,2,2,1,3,,,,,,,,1.0,4,5,2.0,,,,,,,,9,11.0,,,,,,,,1,2.0,1,1,2.0,,2,2,6,La Paz,0.5,0.267
2413,20,1,,,,,1,2.0,3.0,4.0,,1,1,2,1,3,,,,,,,,1.0,7,4,9.0,8.0,,10.0,,,,,7,7.0,,,,,,,,1,2.0,2,6,,,1,6,6,La Paz,0.75,0.402
2415,22,1,,,,,1,2.0,3.0,4.0,5.0,1,1,2,1,2,,,,,,,,1.0,7,1,2.0,4.0,,,,,,,7,9.0,12.0,,,,,,,2,,2,6,,,1,6,6,La Paz,0.875,0.604
2421,20,1,,,,,2,4.0,5.0,,,1,2,2,1,3,,,,,,,,1.0,7,1,7.0,10.0,,11.0,,,,,1,5.0,7.0,9.0,,,,,,2,,1,1,2.0,,2,3,6,La Paz,0.5,0.414
2428,16,1,,,,,1,4.0,5.0,,,1,1,2,1,3,,,,,,,,1.0,5,5,,,,,,,,,9,,,,,,,,,1,2.0,2,3,,,2,2,6,Jatuquira,0.75,0.308
2431,22,1,,,,,1,2.0,,,,1,1,2,1,2,,,,,,,,1.0,7,2,10.0,7.0,,,,,,,1,5.0,,,,,,,,2,,2,1,5.0,2.0,2,3,6,Ixiamas,0.875,0.242
2433,14,1,,,,,2,1.0,4.0,,,1,2,2,1,3,,,,,,,,2.0,2,5,,,,,,,,,1,,,,,,,,,2,,1,5,1.0,2.0,1,2,6,Ixiamas,0.5,0.284
2436,20,1,,,,,1,1.0,2.0,3.0,5.0,1,2,2,1,3,,,,,,,,1.0,7,1,4.0,9.0,,10.0,,,,,9,,,,,,,,,1,2.0,2,6,,,1,6,6,El Alto,0.625,0.54
2438,19,1,,,,,1,1.0,2.0,3.0,,1,1,2,1,2,,,,,,,,1.0,7,1,2.0,4.0,,9.0,,,,,4,9.0,,,,,,,,2,,1,6,,,1,3,6,El Alto,0.875,0.498
2440,18,1,,,,,1,1.0,2.0,,,1,2,2,1,3,,,,,,,,1.0,7,1,2.0,4.0,,,,,,,1,5.0,7.0,9.0,12.0,,,,,2,,1,6,,,2,2,6,El Alto,0.625,0.396
2445,18,1,,,,,2,5.0,,,,1,2,2,1,3,,,,,,,,1.0,5,2,10.0,,,,,,,,5,,,,,,,,,1,2.0,3,5,,,2,2,6,El Alto,0.375,0.202
2446,22,1,,,,,1,1.0,2.0,3.0,,1,2,2,1,3,,,,,,,,1.0,6,1,10.0,7.0,,,,,,,1,5.0,7.0,12.0,,,,,,2,,3,5,1.0,,1,6,6,El Alto,0.5,0.361
2448,18,1,,,,,2,2.0,4.0,,,1,2,2,1,3,,,,,,,,1.0,5,1,9.0,10.0,,,,,,,5,7.0,,,,,,,,1,2.0,1,6,,,1,2,6,El Alto,0.5,0.3
2451,18,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,4,2,5.0,7.0,,9.0,10.0,,,,3,7.0,9.0,,,,,,,1,2.0,3,3,,,1,2,6,El Alto,0.375,0.25
2454,16,1,,,,,2,5.0,,,,1,2,2,1,3,,,,,,,,1.0,4,7,8.0,9.0,,,,,,,9,12.0,2.0,3.0,4.0,,5.0,6.0,7.0,2,,3,6,,,2,2,6,El Alto,0.375,0.227
2459,21,1,,,,,1,1.0,,,,1,2,2,1,3,,,,,,,,1.0,6,9,10.0,,,,,,,,8,9.0,12.0,,,,,,,1,2.0,2,5,,,2,6,6,El Alto,0.625,0.138
2464,17,1,,,,,1,1.0,,,,1,2,2,1,3,,,,,,,,1.0,1,1,2.0,7.0,,,,,,,5,12.0,,,,,,,,1,2.0,1,6,,,1,2,6,El Alto,0.625,0.283
2467,21,1,,,,,1,1.0,2.0,3.0,4.0,1,2,2,1,1,2.0,7.0,9.0,,10.0,,,1.0,5,1,2.0,4.0,,5.0,6.0,7.0,8.0,9.0,5,7.0,9.0,12.0,,,,,,2,,2,4,5.0,,2,6,6,El Alto,0.75,0.999
2469,19,1,,,,,1,1.0,2.0,3.0,4.0,1,1,2,1,1,10.0,,,,,,,1.0,7,1,10.0,,,,,,,,9,7.0,,,,,,,,2,,1,4,5.0,6.0,1,3,6,El Alto,0.875,0.418
2472,22,1,,,,,1,2.0,3.0,4.0,5.0,1,1,2,1,1,1.0,2.0,,,,,,1.0,7,2,5.0,,,,,,,,5,,,,,,,,,1,2.0,2,6,,,1,4,6,El Alto,0.875,0.669
2476,16,1,,,,,1,2.0,3.0,4.0,,1,1,2,1,1,1.0,2.0,4.0,,,,,1.0,4,1,2.0,,,,,,,,5,,,,,,,,,2,,1,5,,,1,2,6,El Alto,0.875,0.603
2477,17,1,,,,,1,1.0,,,,1,1,2,1,1,1.0,2.0,,,,,,1.0,7,1,2.0,5.0,,,,,,,5,,,,,,,,,2,,1,9,,,2,2,6,El Alto,0.875,0.404
2478,19,1,,,,,1,5.0,,,,1,2,2,1,3,,,,,,,,1.0,7,1,8.0,10.0,,,,,,,9,,,,,,,,,2,,1,5,1.0,,1,2,6,El Alto,0.625,0.162
2480,17,1,,,,,1,5.0,,,,1,2,2,1,3,,,,,,,,1.0,7,2,9.0,,,,,,,,5,,,,,,,,,2,,1,1,5.0,,2,2,6,El Alto,0.625,0.243
2483,21,1,,,,,1,4.0,5.0,,,1,2,2,1,3,,,,,,,,1.0,7,1,10.0,,,,,,,,1,,,,,,,,,2,,2,5,6.0,,2,6,6,El Alto,0.625,0.284
2484,22,1,,,,,1,4.0,5.0,,,1,2,2,1,3,,,,,,,,1.0,7,1,2.0,10.0,,,,,,,9,,,,,,,,,1,2.0,1,5,6.0,,1,6,6,El Alto,0.625,0.365
2485,16,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,2,1,10.0,,,,,,,,9,,,,,,,,,2,,3,9,,,2,2,6,El Alto,0.375,0.04
2486,23,1,,,,,1,2.0,5.0,,,1,2,2,1,3,,,,,,,,1.0,4,1,2.0,,,,,,,,9,,,,,,,,,2,,2,5,,,2,3,6,El Alto,0.625,0.34
2491,14,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,2.0,5,2,,,,,,,,,2,5.0,6.0,,,,,,,2,,1,5,,,2,2,6,El Alto,0.5,0.08
2492,22,1,,,,,1,1.0,5.0,,,1,1,2,1,1,1.0,2.0,4.0,,5.0,9.0,,1.0,5,1,2.0,,,,,,,,1,2.0,,,,,,,,2,,2,5,,,2,6,6,El Alto,0.875,0.542
2493,19,1,,,,,1,2.0,3.0,5.0,,1,2,2,1,3,,,,,,,,1.0,7,1,,,,,,,,,7,,,,,,,,,1,1.0,2,2,5.0,,1,6,6,El Alto,0.625,0.321
2495,14,1,,,,,2,5.0,,,,1,2,2,1,3,,,,,,,,1.0,1,1,10.0,,,,,,,,7,,,,,,,,,2,,2,9,,,1,2,6,El Alto,0.5,0.162
2497,20,1,,,,,1,1.0,2.0,4.0,5.0,1,1,2,1,2,,,,,,,,1.0,7,1,2.0,10.0,,,,,,,1,4.0,7.0,,,,,,,1,1.0,1,1,2.0,,2,2,6,El Alto,0.875,0.56
2498,20,1,,,,,1,2.0,3.0,5.0,,1,2,2,1,1,1.0,10.0,11.0,,,,,1.0,7,1,2.0,10.0,,,,,,,1,4.0,5.0,,,,,,,2,,1,5,3.0,1.0,1,2,6,El Alto,0.75,0.507
2501,17,1,,,,,1,1.0,2.0,3.0,4.0,1,1,2,2,2,,,,,,,,1.0,7,1,2.0,5.0,,,,,,,7,,,,,,,,,2,,1,9,,,1,2,6,El Alto,0.75,0.564
2508,21,1,,,,,1,2.0,4.0,5.0,,1,2,2,1,2,,,,,,,,1.0,5,7,,,,,,,,,7,,,,,,,,,2,,2,1,,,1,6,6,Colquencha,0.75,0.406
2509,16,1,,,,,2,1.0,4.0,,,1,2,2,1,3,,,,,,,,1.0,7,1,9.0,10.0,,,,,,,5,9.0,,,,,,,,2,,1,9,,,1,2,6,Caranavi,0.5,0.3
2511,21,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,3,1,2.0,4.0,,7.0,6.0,9.0,,,1,4.0,5.0,9.0,12.0,,,,,2,,1,1,,,2,3,6,Cachichira,0.5,0.371
2516,19,1,,,,,1,1.0,2.0,4.0,,1,1,1,1,1,2.0,9.0,10.0,,,,,1.0,7,7,9.0,,,,,,,,1,7.0,,,,,,,,1,1.0,1,1,6.0,3.0,2,3,6,Sucre,1.0,0.543
2517,20,1,,,,,1,1.0,2.0,4.0,5.0,1,1,2,1,1,1.0,4.0,5.0,,8.0,9.0,10.0,1.0,7,1,7.0,8.0,,,,,,,1,3.0,9.0,,,,,,,1,1.0,2,1,,,1,3,6,Sucre,0.875,0.73
2518,16,1,,,,,1,2.0,3.0,4.0,,1,1,2,1,1,8.0,9.0,10.0,,,,,1.0,7,8,9.0,10.0,,,,,,,1,7.0,,,,,,,,2,,1,5,6.0,1.0,1,2,6,Sucre,0.875,0.361
2528,22,1,,,,,2,,,,,1,1,2,1,3,,,,,,,,1.0,7,1,10.0,11.0,,,,,,,9,12.0,,,,,,,,2,,1,7,,,2,6,6,Sucre,0.625,0.105
2537,22,1,,,,,1,1.0,4.0,5.0,,1,2,2,1,2,,,,,,,,1.0,7,4,7.0,10.0,,,,,,,5,6.0,,,,,,,,1,1.0,2,5,6.0,4.0,1,6,6,Sucre,0.75,0.487
2539,21,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,4,1,10.0,11.0,,,,,,,7,,,,,,,,,1,1.0,2,6,4.0,2.0,1,6,6,Sucre,0.5,0.105
2540,21,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,2.0,7,1,10.0,,,,,,,,7,,,,,,,,,2,,1,4,5.0,6.0,1,3,6,Sucre,0.5,0.04
2543,21,1,,,,,1,2.0,4.0,5.0,,1,2,2,1,2,,,,,,,,1.0,7,5,6.0,7.0,,8.0,,,,,2,4.0,5.0,10.0,,,,,,1,2.0,2,5,6.0,4.0,2,3,6,Sucre,0.75,0.535
2545,24,1,,,,,1,5.0,1.0,,,1,1,2,1,2,,,,,,,,1.0,7,1,10.0,7.0,,,,,,,1,7.0,,,,,,,,1,2.0,2,5,6.0,2.0,2,6,6,Sucre,0.875,0.324
2549,21,1,,,,,2,4.0,5.0,,,1,2,1,1,3,,,,,,,,1.0,7,1,4.0,10.0,,,,,,,1,3.0,7.0,,,,,,,1,2.0,2,5,1.0,6.0,1,6,6,Sucre,0.625,0.365
2550,22,1,,,,,2,,,,,1,1,2,1,3,,,,,,,,1.0,7,1,4.0,7.0,,,,,,,1,2.0,7.0,,,,,,,1,2.0,2,6,4.0,1.0,2,6,6,Sucre,0.625,0.186
2552,23,1,,,,,1,1.0,5.0,,,1,1,2,1,2,,,,,,,,1.0,7,1,10.0,,,,,,,,1,7.0,,,,,,,,2,,2,5,6.0,4.0,2,6,6,Sucre,0.875,0.26
2555,17,1,,,,,1,4.0,5.0,,,1,2,1,1,2,,,,,,,,1.0,7,10,2.0,,,,,,,,5,,,,,,,,,1,2.0,1,5,6.0,,2,2,6,Sucre,0.875,0.324
2556,20,1,,,,,1,1.0,2.0,,,1,1,2,1,2,,,,,,,,1.0,7,1,,,,,,,,,1,7.0,,,,,,,,2,,2,9,,,1,6,6,Sucre,0.875,0.236
2558,22,1,,,,,1,1.0,,,,1,2,2,1,3,,,,,,,,1.0,7,4,10.0,,,,,,,,5,,,,,,,,,2,,2,9,,,2,6,6,Sucre,0.625,0.178
2559,16,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,5,9,10.0,,,,,,,,1,,,,,,,,,2,,1,9,,,2,2,6,Sucre,0.5,0.04
2561,20,1,,,,,2,,,,,1,1,2,1,3,,,,,,,,1.0,3,1,10.0,,,,,,,,5,,,,,,,,,2,,1,9,,,2,3,6,Sucre,0.625,0.04
2562,22,1,,,,,2,,,,,1,1,2,1,3,,,,,,,,1.0,6,2,4.0,6.0,,,,,,,5,,,,,,,,,2,,2,5,6.0,1.0,2,6,6,Sucre,0.625,0.226
2564,21,1,,,,,1,1.0,3.0,4.0,,1,1,2,1,2,,,,,,,,1.0,7,4,5.0,10.0,,,,,,,9,,,,,,,,,2,,2,5,6.0,4.0,1,6,6,Sucre,0.875,0.426
2567,18,1,,,,,1,3.0,5.0,,,1,2,2,1,3,,,,,,,,1.0,7,1,8.0,10.0,,,,,,,9,,,,,,,,,2,,1,5,6.0,,1,3,6,Sucre,0.625,0.224
2575,14,1,,,,,1,2.0,3.0,4.0,5.0,1,1,2,2,2,,,,,,,,1.0,3,1,7.0,10.0,,,,,,,7,,,,,,,,,2,,1,1,,,2,2,6,Sucre,0.75,0.508
2577,19,1,,,,,1,2.0,3.0,4.0,5.0,1,1,2,1,3,,,,,,,,1.0,7,2,,,,,,,,,7,,,,,,,,,1,2.0,1,5,6.0,,2,6,6,Sucre,0.75,0.483
2580,24,1,,,,,2,,,,,1,1,2,2,3,,,,,,,,1.0,7,1,7.0,9.0,,,,,,,3,,,,,,,,,1,2.0,2,1,,,1,6,6,Sucre,0.5,0.145
2583,22,1,,,,,1,3.0,5.0,,,1,1,2,1,3,,,,,,,,1.0,7,1,4.0,10.0,,,,,,,5,12.0,,,,,,,,1,2.0,2,5,,,1,6,6,Sucre,0.75,0.304
2584,18,1,,,,,1,1.0,2.0,4.0,5.0,1,1,2,1,2,,,,,,,,1.0,7,2,4.0,7.0,,9.0,,,,,2,7.0,8.0,9.0,10.0,,,,,1,2.0,2,6,,,2,2,6,Sucre,0.875,0.705
2587,15,1,,,,,1,3.0,4.0,,,1,1,2,1,3,,,,,,,,1.0,7,10,,,,,,,,,7,,,,,,,,,2,,1,1,,,1,2,6,Sucre,0.75,0.183
2589,14,1,,,,,1,2.0,4.0,5.0,,1,1,2,1,3,,,,,,,,,7,1,,,,,,,,,1,,,,,,,,,2,,1,5,,,2,2,6,Sucre,0.75,0.382
2590,24,1,,,,,2,1.0,,,,1,2,2,1,3,,,,,,,,1.0,5,1,,,,,,,,,3,,,,,,,,,1,2.0,2,6,1.0,2.0,2,6,6,Sucre,0.5,0.138
2593,18,1,,,,,1,5.0,,,,1,1,2,2,1,4.0,5.0,7.0,,8.0,9.0,10.0,1.0,7,1,2.0,4.0,,7.0,9.0,10.0,,,7,8.0,9.0,12.0,,,,,,1,2.0,2,4,5.0,,2,3,6,Sucre,0.75,0.638
2597,21,1,,,,,1,1.0,2.0,3.0,5.0,1,1,2,1,1,1.0,5.0,,,,,,1.0,7,5,7.0,,,,,,,,13,,,,,,,,,1,2.0,3,5,1.0,3.0,1,2,6,Sucre,0.75,0.612
2599,17,1,,,,,1,2.0,4.0,5.0,,1,1,2,1,2,,,,,,,,1.0,7,1,2.0,9.0,,,,,,,5,,,,,,,,,2,,3,6,4.0,3.0,2,2,6,Sucre,0.75,0.503
2601,16,1,,,,,1,1.0,4.0,5.0,,1,1,2,1,2,,,,,,,,1.0,3,2,7.0,8.0,,,,,,,1,5.0,9.0,,,,,,,2,,3,6,5.0,7.0,1,2,6,Sucre,0.75,0.487
2602,24,1,,,,,1,1.0,,,,1,1,1,1,1,1.0,2.0,,,,,,1.0,7,1,5.0,,,,,,,,1,3.0,,,,,,,,1,1.0,2,5,,,2,6,6,Sucre,1.0,0.324
2603,19,1,,,,,1,1.0,2.0,3.0,,1,1,2,1,2,,,,,,,,1.0,7,1,2.0,,,,,,,,1,3.0,7.0,,,,,,,2,,2,5,1.0,,1,6,6,Sucre,0.875,0.377
2604,22,1,,,,,1,1.0,2.0,3.0,,1,1,2,1,1,1.0,2.0,4.0,,,,,1.0,7,1,2.0,,,,,,,,5,,,,,,,,,1,1.0,2,1,,,1,6,6,Sucre,0.875,0.578
2606,24,1,,,,,1,1.0,2.0,,,1,1,2,1,2,,,,,,,,1.0,7,1,,,,,,,,,1,5.0,12.0,,,,,,,1,2.0,2,5,6.0,,2,6,6,Sucre,0.875,0.236
2607,15,1,,,,,1,1.0,2.0,,,1,1,2,1,2,,,,,,,,1.0,5,1,2.0,5.0,,,,,,,1,5.0,,,,,,,,2,,3,9,,,2,2,6,Sucre,0.75,0.38
2609,14,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,1,2.0,7.0,,8.0,9.0,10.0,11.0,,5,7.0,9.0,12.0,,,,,,2,,1,5,1.0,2.0,1,2,6,Sucre,0.5,0.29
2610,14,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,3,1,2.0,9.0,,10.0,,,,,5,7.0,9.0,,,,,,,2,,3,5,1.0,2.0,2,2,6,Sucre,0.375,0.162
2615,17,1,,,,,2,1.0,2.0,3.0,4.0,1,2,2,1,3,,,,,,,,1.0,3,1,6.0,9.0,,10.0,11.0,,,,1,3.0,4.0,5.0,7.0,,9.0,12.0,,2,,1,6,5.0,3.0,1,2,6,Sucre,0.5,0.588
2616,18,1,,,,,2,2.0,5.0,,,1,2,2,1,3,,,,,,,,1.0,7,1,2.0,6.0,,7.0,9.0,10.0,,,1,4.0,7.0,9.0,,,,,,1,2.0,2,6,5.0,1.0,2,3,6,Sucre,0.5,0.51
2619,20,1,,,,,1,5.0,,,,1,1,2,1,2,,,,,,,,1.0,7,1,10.0,,,,,,,,1,,,,,,,,,2,,1,5,6.0,2.0,1,2,6,Sucre,0.875,0.162
2620,21,1,,,,,1,5.0,,,,1,1,2,1,3,,,,,,,,2.0,4,2,10.0,11.0,,,,,,,5,,,,,,,,,2,,2,5,6.0,2.0,1,6,6,Sucre,0.75,0.267
2624,21,1,,,,,1,5.0,,,,1,1,2,1,3,,,,,,,,1.0,6,1,10.0,,,,,,,,1,,,,,,,,,2,,2,5,4.0,6.0,2,6,6,Sucre,0.75,0.162
2627,18,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,2,1,7.0,,,,,,,,9,,,,,,,,,2,,3,1,2.0,6.0,2,3,6,Papagayo,0.375,0.105
2630,22,1,,,,,2,,,,,1,1,2,1,3,,,,,,,,1.0,2,4,7.0,10.0,,,,,,,1,3.0,9.0,,,,,,,2,,2,6,1.0,2.0,1,6,6,Papagayo,0.625,0.145
2633,17,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,1,7.0,9.0,,,,,,,2,5.0,,,,,,,,2,,3,9,,,2,2,6,Papagayo,0.375,0.145
2654,14,1,,,,,2,,,,,2,2,2,1,3,,,,,,,,1.0,5,1,7.0,10.0,,,,,,,7,,,,,,,,,2,,3,9,,,1,2,6,Papagayo,0.25,0.105
2661,23,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,1,5.0,7.0,,,,,,,1,4.0,7.0,,,,,,,2,,3,1,2.0,6.0,2,6,6,Papagayo,0.375,0.17
2667,23,1,,,,,2,,,,,1,1,2,1,3,,,,,,,,1.0,4,1,9.0,4.0,,,,,,,10,,,,,,,,,2,,2,6,1.0,,2,6,6,Camargo,0.625,0.162
2670,16,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,4,1,10.0,,,,,,,,9,,,,,,,,,2,,1,6,1.0,,2,2,6,Camargo,0.5,0.04
2671,16,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,5,1,8.0,9.0,,,,,,,9,,,,,,,,,2,,1,5,2.0,1.0,1,2,6,Camargo,0.5,0.08
2678,18,1,,,,,1,2.0,4.0,,,1,2,2,1,3,,,,,,,,1.0,7,2,7.0,,,,,,,,1,7.0,9.0,,,,,,,2,,1,1,7.0,3.0,1,4,6,Camargo,0.625,0.364
2680,15,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,1,2.0,10.0,,,,,,,1,7.0,,,,,,,,2,,1,9,,,2,2,6,Camargo,0.5,0.121
2681,19,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,2,1,2.0,8.0,,9.0,10.0,,,,7,,,,,,,,,2,,1,9,,,1,3,6,Vinto Cancha Grande,0.5,0.162
2688,20,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,4,1,2.0,6.0,,7.0,8.0,9.0,10.0,,1,5.0,7.0,,,,,,,2,,3,3,,,2,6,6,Vinto,0.375,0.29
2693,23,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,5,1,9.0,10.0,,,,,,,3,9.0,,,,,,,,1,2.0,3,9,,,1,3,6,Vinto,0.375,0.08
2694,20,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,4,1,8.0,9.0,,10.0,,,,,1,7.0,9.0,12.0,,,,,,1,2.0,2,3,,,1,1,6,Vinto,0.5,0.08
2695,17,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,2,1,9.0,10.0,,,,,,,9,,,,,,,,,1,2.0,1,9,,,1,2,6,Vinto,0.5,0.08
2703,25,1,,,,,2,2.0,3.0,4.0,,1,2,2,1,3,,,,,,,,1.0,5,1,2.0,6.0,,7.0,8.0,9.0,10.0,11.0,1,3.0,5.0,7.0,9.0,,12.0,,,1,2.0,2,5,6.0,1.0,1,6,6,Vinto,0.5,0.636
2707,22,1,,,,,1,1.0,2.0,5.0,,1,1,2,1,1,2.0,4.0,9.0,,,,,1.0,7,1,9.0,,,,,,,,1,5.0,9.0,12.0,,,,,,2,,2,3,4.0,6.0,1,6,6,Vinto,0.875,0.599
2709,18,1,,,,,1,2.0,4.0,5.0,,1,1,2,1,1,1.0,2.0,9.0,,10.0,,,1.0,7,1,6.0,9.0,,,,,,,1,5.0,7.0,9.0,12.0,,,,,2,,2,2,1.0,3.0,2,3,6,Vinto,0.875,0.648
2719,29,1,,,,,1,2.0,4.0,5.0,,1,2,2,1,1,5.0,7.0,10.0,,,,,1.0,7,10,,,,,,,,,5,,,,,,,,,2,,2,1,6.0,5.0,2,6,6,Vinto,0.75,0.471
2724,23,1,,,,,1,4.0,5.0,,,1,1,2,1,3,,,,,,,,1.0,7,1,4.0,10.0,,,,,,,5,9.0,,,,,,,,1,1.0,2,1,2.0,2.0,1,6,6,Vinto,0.75,0.365
2728,19,1,,,,,1,4.0,5.0,,,1,2,2,1,2,,,,,,,,1.0,7,1,2.0,4.0,,7.0,,,,,1,9.0,,,,,,,,1,1.0,2,1,3.0,5.0,1,6,6,Vinto,0.75,0.51
2729,18,1,,,,,1,4.0,5.0,,,1,1,1,1,2,,,,,,,,1.0,7,1,2.0,3.0,,,,,,,1,2.0,,,,,,,,2,,2,1,2.0,3.0,1,3,6,Vinto,1.0,0.365
2730,18,1,,,,,1,5.0,,,,1,1,2,1,2,,,,,,,,1.0,5,1,2.0,,,,,,,,9,,,,,,,,,2,,2,1,4.0,6.0,1,3,6,Vinto,0.875,0.243
2736,17,1,,,,,2,3.0,5.0,,,1,2,2,1,3,,,,,,,,1.0,7,2,7.0,9.0,,10.0,,,,,3,7.0,,,,,,,,2,,1,1,,,1,2,6,Vinto,0.5,0.368
2737,20,1,,,,,1,5.0,,,,1,1,2,1,2,,,,,,,,1.0,7,1,2.0,4.0,,5.0,10.0,11.0,,,1,2.0,9.0,,,,,,,1,1.0,2,9,,,1,6,6,Vinto,0.875,0.452
2744,18,1,,,,,2,4.0,,,,1,1,2,1,3,,,,,,,,1.0,7,1,2.0,,,,,,,,7,,,,,,,,,2,,3,1,,,2,3,6,Vinto,0.5,0.243
2748,18,1,,,,,2,5.0,,,,1,1,2,1,3,,,,,,,,1.0,7,1,4.0,10.0,,,,,,,9,,,,,,,,,2,,2,5,6.0,1.0,2,3,6,Vinto,0.625,0.243
2749,19,1,,,,,2,5.0,,,,1,1,2,1,3,,,,,,,,1.0,7,1,2.0,9.0,,10.0,,,,,5,,,,,,,,,2,,2,1,2.0,3.0,1,3,6,Vinto,0.625,0.284
2750,17,1,,,,,2,2.0,5.0,,,1,2,2,1,3,,,,,,,,1.0,7,1,4.0,10.0,,,,,,,1,5.0,9.0,,,,,,,2,,1,5,1.0,2.0,2,2,6,Villomilla,0.5,0.34
2754,20,1,,,,,1,4.0,5.0,,,1,2,2,1,2,,,,,,,,1.0,7,1,2.0,6.0,,9.0,10.0,,,,1,7.0,9.0,,,,,,,2,,1,1,6.0,5.0,2,2,6,Villomilla,0.75,0.47
2757,20,1,,,,,2,4.0,,,,1,2,2,1,3,,,,,,,,,1,1,,,,,,,,,7,,,,,,,,,2,,3,1,,,2,2,6,Sunchu Pampa,0.375,0.162
2760,22,1,,,,,2,,,,,1,1,2,1,3,,,,,,,,1.0,2,1,9.0,10.0,,,,,,,1,2.0,9.0,,,,,,,2,,1,2,,,2,3,6,Sunchu Pampa,0.625,0.08
2761,24,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,3,2,7.0,11.0,,,,,,,1,9.0,,,,,,,,1,2.0,2,1,,,2,6,6,Sunchu Pampa,0.5,0.21
2762,16,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,1,2,5.0,7.0,,,,,,,1,9.0,,,,,,,,2,,3,1,,,1,2,6,Sunchu Pampa,0.375,0.21
2763,21,1,,,,,2,5.0,,,,1,2,2,1,3,,,,,,,,1.0,3,2,10.0,,,,,,,,6,7.0,9.0,,,,,,,2,,1,1,5.0,6.0,1,3,6,Sipe Sipe,0.5,0.202
2766,17,1,,,,,1,2.0,4.0,5.0,,1,2,1,1,3,,,,,,,,1.0,7,1,2.0,9.0,,10.0,,,,,5,9.0,12.0,,,,,,,1,2.0,1,1,5.0,6.0,1,2,6,Sipe Sipe,0.75,0.503
2767,18,1,,,,,1,2.0,4.0,5.0,,1,2,1,1,2,,,,,,,,1.0,7,1,2.0,10.0,,,,,,,1,5.0,7.0,9.0,,,,,,1,2.0,2,6,1.0,5.0,1,3,6,Sipe Sipe,0.875,0.462
2768,19,1,,,,,1,1.0,3.0,4.0,,1,2,2,1,2,,,,,,,,1.0,7,8,9.0,10.0,,,,,,,2,7.0,,,,,,,,2,,2,1,5.0,6.0,1,6,6,Sipe Sipe,0.75,0.321
2770,14,1,,,,,1,3.0,4.0,,,1,2,2,1,1,9.0,10.0,,,,,,1.0,7,9,10.0,,,,,,,,7,,,,,,,,,2,,1,5,6.0,3.0,1,2,6,Sipe Sipe,0.75,0.264
